x,y,z
1,1,30
2,1,30
3,1,30
4,1,31
5,1,30
6,1,30
7,1,30
8,1,30
9,1,30
10,1,30
11,1,30
12,1,30
13,1,30
14,1,30
15,1,30
16,1,30
17,1,31
18,1,30
19,1,32
20,1,34
21,1,33
22,1,36
23,1,33
24,1,35
25,1,33
26,1,33
27,1,30
28,1,33
29,1,30
30,1,33
31,1,30
32,1,38
1,2,31
2,2,30
3,2,31
4,2,30
5,2,31
6,2,30
7,2,30
8,2,30
9,2,30
10,2,30
11,2,30
12,2,30
13,2,30
14,2,30
15,2,30
16,2,31
17,2,31
18,2,31
19,2,30
20,2,33
21,2,34
22,2,33
23,2,36
24,2,33
25,2,35
26,2,31
27,2,33
28,2,30
29,2,34
30,2,30
31,2,34
32,2,30
1,3,38
2,3,31
3,3,30
4,3,32
5,3,30
6,3,30
7,3,30
8,3,30
9,3,30
10,3,30
11,3,30
12,3,30
13,3,30
14,3,30
15,3,30
16,3,33
17,3,32
18,3,33
19,3,31
20,3,33
21,3,31
22,3,35
23,3,32
24,3,36
25,3,33
26,3,35
27,3,31
28,3,36
29,3,30
30,3,36
31,3,30
32,3,36
1,4,30
2,4,30
3,4,31
4,4,30
5,4,33
6,4,30
7,4,30
8,4,30
9,4,30
10,4,30
11,4,30
12,4,30
13,4,30
14,4,30
15,4,32
16,4,32
17,4,34
18,4,32
19,4,34
20,4,32
21,4,34
22,4,32
23,4,36
24,4,33
25,4,36
26,4,31
27,4,35
28,4,30
29,4,36
30,4,30
31,4,36
32,4,30
1,5,35
2,5,31
3,5,30
4,5,33
5,5,31
6,5,30
7,5,30
8,5,30
9,5,30
10,5,30
11,5,30
12,5,30
13,5,30
14,5,32
15,5,31
16,5,34
17,5,32
18,5,35
19,5,32
20,5,35
21,5,33
22,5,35
23,5,32
24,5,35
25,5,32
26,5,35
27,5,31
28,5,36
29,5,32
30,5,36
31,5,31
32,5,35
1,6,30
2,6,30
3,6,32
4,6,31
5,6,33
6,6,30
7,6,30
8,6,30
9,6,30
10,6,30
11,6,30
12,6,30
13,6,30
14,6,30
15,6,32
16,6,32
17,6,34
18,6,32
19,6,34
20,6,33
21,6,34
22,6,32
23,6,35
24,6,32
25,6,35
26,6,31
27,6,35
28,6,33
29,6,36
30,6,32
31,6,36
32,6,30
1,7,34
2,7,31
3,7,30
4,7,33
5,7,31
6,7,30
7,7,30
8,7,30
9,7,30
10,7,30
11,7,30
12,7,30
13,7,30
14,7,30
15,7,30
16,7,33
17,7,31
18,7,32
19,7,31
20,7,33
21,7,31
22,7,33
23,7,32
24,7,33
25,7,31
26,7,35
27,7,32
28,7,36
29,7,33
30,7,36
31,7,32
32,7,34
1,8,30
2,8,30
3,8,32
4,8,31
5,8,33
6,8,30
7,8,30
8,8,30
9,8,30
10,8,30
11,8,30
12,8,30
13,8,30
14,8,30
15,8,30
16,8,30
17,8,32
18,8,30
19,8,30
20,8,30
21,8,31
22,8,30
23,8,31
24,8,30
25,8,32
26,8,32
27,8,35
28,8,34
29,8,36
30,8,33
31,8,36
32,8,30
1,9,32
2,9,31
3,9,30
4,9,33
5,9,30
6,9,30
7,9,30
8,9,30
9,9,30
10,9,30
11,9,30
12,9,30
13,9,30
14,9,30
15,9,30
16,9,30
17,9,30
18,9,30
19,9,30
20,9,30
21,9,30
22,9,30
23,9,30
24,9,31
25,9,32
26,9,35
27,9,33
28,9,36
29,9,33
30,9,35
31,9,30
32,9,32
1,10,30
2,10,30
3,10,31
4,10,30
5,10,32
6,10,30
7,10,30
8,10,30
9,10,30
10,10,30
11,10,30
12,10,30
13,10,30
14,10,30
15,10,30
16,10,30
17,10,30
18,10,30
19,10,30
20,10,30
21,10,30
22,10,30
23,10,30
24,10,32
25,10,33
26,10,33
27,10,35
28,10,33
29,10,35
30,10,31
31,10,32
32,10,30
1,11,31
2,11,30
3,11,30
4,11,31
5,11,30
6,11,30
7,11,30
8,11,30
9,11,30
10,11,30
11,11,30
12,11,30
13,11,30
14,11,30
15,11,30
16,11,30
17,11,30
18,11,30
19,11,30
20,11,30
21,11,30
22,11,30
23,11,30
24,11,33
25,11,33
26,11,35
27,11,33
28,11,33
29,11,32
30,11,31
31,11,30
32,11,31
1,12,30
2,12,30
3,12,30
4,12,30
5,12,30
6,12,30
7,12,30
8,12,30
9,12,30
10,12,30
11,12,30
12,12,30
13,12,30
14,12,30
15,12,30
16,12,30
17,12,30
18,12,30
19,12,30
20,12,30
21,12,30
22,12,30
23,12,31
24,12,33
25,12,35
26,12,33
27,12,34
28,12,32
29,12,31
30,12,30
31,12,30
32,12,30
1,13,31
2,13,30
3,13,30
4,13,30
5,13,30
6,13,30
7,13,30
8,13,30
9,13,30
10,13,30
11,13,30
12,13,30
13,13,30
14,13,30
15,13,30
16,13,30
17,13,30
18,13,30
19,13,30
20,13,30
21,13,30
22,13,31
23,13,32
24,13,33
25,13,33
26,13,32
27,13,32
28,13,31
29,13,30
30,13,31
31,13,30
32,13,31
1,14,30
2,14,30
3,14,30
4,14,30
5,14,30
6,14,30
7,14,30
8,14,30
9,14,30
10,14,30
11,14,30
12,14,30
13,14,30
14,14,30
15,14,30
16,14,30
17,14,30
18,14,30
19,14,30
20,14,30
21,14,30
22,14,32
23,14,32
24,14,33
25,14,32
26,14,32
27,14,30
28,14,30
29,14,31
30,14,30
31,14,31
32,14,30
1,15,31
2,15,30
3,15,30
4,15,30
5,15,30
6,15,30
7,15,30
8,15,30
9,15,30
10,15,30
11,15,30
12,15,30
13,15,30
14,15,30
15,15,30
16,15,30
17,15,30
18,15,30
19,15,30
20,15,30
21,15,31
22,15,30
23,15,32
24,15,31
25,15,31
26,15,31
27,15,30
28,15,30
29,15,30
30,15,31
31,15,30
32,15,30
1,16,30
2,16,30
3,16,30
4,16,30
5,16,30
6,16,30
7,16,30
8,16,30
9,16,30
10,16,30
11,16,30
12,16,30
13,16,30
14,16,30
15,16,30
16,16,30
17,16,30
18,16,30
19,16,30
20,16,31
21,16,30
22,16,32
23,16,31
24,16,30
25,16,31
26,16,30
27,16,31
28,16,30
29,16,31
30,16,30
31,16,30
32,16,30
1,17,30
2,17,30
3,17,30
4,17,30
5,17,30
6,17,30
7,17,30
8,17,30
9,17,30
10,17,30
11,17,30
12,17,30
13,17,30
14,17,31
15,17,30
16,17,31
17,17,30
18,17,31
19,17,30
20,17,31
21,17,30
22,17,31
23,17,30
24,17,31
25,17,30
26,17,32
27,17,30
28,17,32
29,17,30
30,17,31
31,17,30
32,17,30
1,18,30
2,18,30
3,18,30
4,18,30
5,18,30
6,18,30
7,18,30
8,18,30
9,18,30
10,18,30
11,18,30
12,18,30
13,18,31
14,18,30
15,18,31
16,18,30
17,18,31
18,18,30
19,18,31
20,18,30
21,18,31
22,18,30
23,18,30
24,18,30
25,18,32
26,18,30
27,18,31
28,18,30
29,18,31
30,18,30
31,18,30
32,18,30
1,19,30
2,19,30
3,19,30
4,19,30
5,19,30
6,19,30
7,19,30
8,19,30
9,19,30
10,19,30
11,19,30
12,19,31
13,19,30
14,19,31
15,19,30
16,19,31
17,19,30
18,19,31
19,19,30
20,19,31
21,19,30
22,19,31
23,19,30
24,19,31
25,19,30
26,19,31
27,19,30
28,19,31
29,19,30
30,19,31
31,19,30
32,19,31
1,20,30
2,20,30
3,20,30
4,20,30
5,20,30
6,20,30
7,20,30
8,20,30
9,20,30
10,20,30
11,20,31
12,20,30
13,20,31
14,20,30
15,20,31
16,20,30
17,20,32
18,20,30
19,20,31
20,20,30
21,20,31
22,20,30
23,20,31
24,20,30
25,20,31
26,20,30
27,20,30
28,20,30
29,20,31
30,20,30
31,20,30
32,20,30
1,21,33
2,21,31
3,21,30
4,21,31
5,21,30
6,21,31
7,21,30
8,21,30
9,21,30
10,21,30
11,21,30
12,21,31
13,21,30
14,21,31
15,21,30
16,21,32
17,21,30
18,21,32
19,21,30
20,21,32
21,21,30
22,21,32
23,21,30
24,21,32
25,21,30
26,21,32
27,21,30
28,21,31
29,21,30
30,21,30
31,21,30
